Action	Source IP	Destination IP	Protocol	Reason
Blocked	192.168.0.215	157.255.4.39	6	IP Manually Blocked
Blocked	192.168.0.215	157.255.4.39	6	IP Manually Blocked
Blocked	157.255.4.39	192.168.0.215	6	IP Manually Blocked
Blocked	157.255.4.39	192.168.0.215	6	IP Manually Blocked
Blocked	157.255.4.39	192.168.0.215	6	IP Manually Blocked
Blocked	192.168.0.215	157.255.4.39	6	IP Manually Blocked
Blocked	192.168.0.215	20.42.73.28	6	IP Manually Blocked
Blocked	192.168.0.215	20.42.73.28	6	IP Manually Blocked
Blocked	192.168.0.215	20.42.73.28	6	IP Manually Blocked
Blocked	192.168.0.215	20.42.73.28	6	IP Manually Blocked
Blocked	192.168.0.215	20.42.73.28	6	IP Manually Blocked
Blocked	192.168.0.215	20.42.73.28	6	IP Manually Blocked
Blocked	192.168.0.215	20.42.73.28	6	IP Manually Blocked
Blocked	192.168.0.215	20.42.73.28	6	IP Manually Blocked
Blocked	192.168.0.215	20.42.73.28	6	IP Manually Blocked
Blocked	192.168.0.215	20.42.73.28	6	IP Manually Blocked
Blocked	192.168.0.215	20.42.73.28	6	IP Manually Blocked
Blocked	20.42.73.28	192.168.0.215	6	IP Manually Blocked
Blocked	20.42.73.28	192.168.0.215	6	IP Manually Blocked
Blocked	20.42.73.28	192.168.0.215	6	IP Manually Blocked
Blocked	20.42.73.28	192.168.0.215	6	IP Manually Blocked
Blocked	20.42.73.28	192.168.0.215	6	IP Manually Blocked
Blocked	20.42.73.28	192.168.0.215	6	IP Manually Blocked
Blocked	20.42.73.28	192.168.0.215	6	IP Manually Blocked
Blocked	192.168.0.215	157.255.4.39	6	IP Manually Blocked
Blocked	157.255.4.39	192.168.0.215	6	IP Manually Blocked
Blocked	192.168.0.215	157.255.4.39	6	IP Manually Blocked
Blocked	157.255.4.39	192.168.0.215	6	IP Manually Blocked
Blocked	192.168.0.215	157.255.4.39	6	IP Manually Blocked
Blocked	157.255.4.39	192.168.0.215	6	IP Manually Blocked
Blocked	20.42.73.28	192.168.0.215	6	IP Manually Blocked
Blocked	192.168.0.215	20.42.73.28	6	IP Manually Blocked
Blocked	192.168.0.215	20.42.73.28	6	IP Manually Blocked
Blocked	192.168.0.215	20.42.73.28	6	IP Manually Blocked
Blocked	192.168.0.215	20.42.73.28	6	IP Manually Blocked
Blocked	192.168.0.215	20.42.73.28	6	IP Manually Blocked
Blocked	192.168.0.215	20.42.73.28	6	IP Manually Blocked
Blocked	192.168.0.215	20.42.73.28	6	IP Manually Blocked
Blocked	20.42.73.28	192.168.0.215	6	IP Manually Blocked
Blocked	20.42.73.28	192.168.0.215	6	IP Manually Blocked
Blocked	20.42.73.28	192.168.0.215	6	IP Manually Blocked
Blocked	20.42.73.28	192.168.0.215	6	IP Manually Blocked
Blocked	192.168.0.215	20.42.73.28	6	IP Manually Blocked
Blocked	20.42.73.28	192.168.0.215	6	IP Manually Blocked
Blocked	192.168.0.215	98.98.225.137	6	IP Manually Blocked
Allowed	20.42.65.90	192.168.0.215	6	
Allowed	20.42.73.26	192.168.0.215	6	
Allowed	20.42.65.90	192.168.0.215	6	
Allowed	192.168.0.215	20.42.65.90	6	
Allowed	192.168.0.215	20.42.65.90	6	
Allowed	192.168.0.215	20.42.73.26	6	
Allowed	192.168.0.215	20.42.73.26	6	
Allowed	192.168.0.215	20.42.65.90	6	
Allowed	192.168.0.215	20.42.65.90	6	
Allowed	192.168.0.215	20.42.65.90	6	
Allowed	192.168.0.215	20.42.65.90	6	
Allowed	192.168.0.215	108.159.102.63	6	
Allowed	192.168.0.215	20.42.65.90	6	
Allowed	192.168.0.215	20.42.73.26	6	
Allowed	20.42.65.90	192.168.0.215	6	
Allowed	20.42.73.26	192.168.0.215	6	
Allowed	192.168.0.215	20.42.73.26	6	
Allowed	20.42.65.90	192.168.0.215	6	
Allowed	20.42.73.26	192.168.0.215	6	
Allowed	192.168.0.215	20.42.73.26	6	
Allowed	20.42.65.90	192.168.0.215	6	
Allowed	140.82.112.26	192.168.0.215	6	
Allowed	192.168.0.215	140.82.112.26	6	
Allowed	140.82.112.26	192.168.0.215	6	
Allowed	192.168.0.215	140.82.112.26	6	
Allowed	20.42.65.90	192.168.0.215	6	
Allowed	20.42.73.26	192.168.0.215	6	
Allowed	20.42.65.90	192.168.0.215	6	
Allowed	20.42.65.90	192.168.0.215	6	
Allowed	20.42.73.26	192.168.0.215	6	
Allowed	192.168.0.215	20.42.73.26	6	
Allowed	192.168.0.215	20.42.65.90	6	
Allowed	192.168.0.215	20.42.65.90	6	
Allowed	192.168.0.215	20.42.73.26	6	
Allowed	20.42.73.26	192.168.0.215	6	
Allowed	140.82.112.26	192.168.0.215	6	
Allowed	140.82.112.26	192.168.0.215	6	
Allowed	140.82.112.26	192.168.0.215	6	
Allowed	20.42.73.26	192.168.0.215	6	
Allowed	20.42.73.26	192.168.0.215	6	
Allowed	20.42.65.90	192.168.0.215	6	
Allowed	20.42.73.26	192.168.0.215	6	
Allowed	20.42.65.90	192.168.0.215	6	
Allowed	20.42.65.90	192.168.0.215	6	
Allowed	192.168.0.215	20.42.73.26	6	
Allowed	192.168.0.215	140.82.112.26	6	
Allowed	192.168.0.215	20.42.73.26	6	
Allowed	192.168.0.215	20.42.73.26	6	
Allowed	192.168.0.215	20.42.65.90	6	
Allowed	192.168.0.215	20.42.73.26	6	
Allowed	20.42.65.90	192.168.0.215	6	
Allowed	20.42.65.90	192.168.0.215	6	
Allowed	108.159.102.63	192.168.0.215	6	
Allowed	20.42.65.90	192.168.0.215	6	
Allowed	20.42.73.26	192.168.0.215	6	
Allowed	192.168.0.215	140.82.112.26	6	
Allowed	192.168.0.215	20.42.65.90	6	
Allowed	197.199.233.34	192.168.0.215	6	
Allowed	192.168.0.215	197.199.233.34	6	
Allowed	140.82.112.26	192.168.0.215	6	
Allowed	20.42.65.90	192.168.0.215	6	
Allowed	20.42.73.26	192.168.0.215	6	
Allowed	192.168.0.215	20.42.65.90	6	
Allowed	192.168.0.215	20.42.65.90	6	
Allowed	192.168.0.215	20.42.65.90	6	
Allowed	98.98.225.137	192.168.0.215	6	
Allowed	192.168.0.215	98.98.225.137	6	
Allowed	20.42.65.90	192.168.0.215	6	
Allowed	192.168.0.215	20.42.65.90	6	
Allowed	192.168.0.215	20.42.65.90	6	
Allowed	20.42.73.26	192.168.0.215	6	
Allowed	20.42.65.90	192.168.0.215	6	
Allowed	192.168.0.215	20.42.65.90	6	
Allowed	192.168.0.215	20.42.65.90	6	
Allowed	192.168.0.215	20.42.73.26	6	
Allowed	20.42.73.26	192.168.0.215	6	
Allowed	20.42.73.26	192.168.0.215	6	
Allowed	20.42.65.90	192.168.0.215	6	
Allowed	192.168.0.215	20.42.73.26	6	
Allowed	192.168.0.215	20.42.65.90	6	
Allowed	192.168.0.215	20.42.65.90	6	
Allowed	20.42.73.26	192.168.0.215	6	
Allowed	192.168.0.215	20.42.73.26	6	
Allowed	192.168.0.215	98.98.225.137	6	
Allowed	192.168.0.215	98.98.225.137	6	
Allowed	20.42.65.90	192.168.0.215	6	
Allowed	192.168.0.215	20.42.65.90	6	
Allowed	20.42.73.26	192.168.0.215	6	
Allowed	192.168.0.215	20.42.73.26	6	
Allowed	192.168.0.215	20.42.73.26	6	
Allowed	192.168.0.215	20.42.73.26	6	
Allowed	20.42.65.90	192.168.0.215	6	
Allowed	20.42.73.26	192.168.0.215	6	
Allowed	98.98.225.137	192.168.0.215	6	
Allowed	192.168.0.215	20.42.73.26	6	
Allowed	20.42.65.90	192.168.0.215	6	
Allowed	192.168.0.153	224.0.0.251	17	
Allowed	20.42.73.26	192.168.0.215	6	
Allowed	20.42.73.26	192.168.0.215	6	
Allowed	20.42.65.90	192.168.0.215	6	
Allowed	98.98.225.137	192.168.0.215	6	
Allowed	20.42.73.26	192.168.0.215	6	
Allowed	20.42.73.26	192.168.0.215	6	
Allowed	192.168.0.215	98.98.225.137	6	
Allowed	192.168.0.215	20.42.73.26	6	
Allowed	192.168.0.215	98.98.225.137	6	
Allowed	192.168.0.215	20.42.73.26	6	
Allowed	192.168.0.215	20.42.73.26	6	
Allowed	20.42.73.26	192.168.0.215	6	
Allowed	20.42.73.26	192.168.0.215	6	
Allowed	192.168.0.215	20.42.65.90	6	
Allowed	192.168.0.215	20.250.77.142	6	
Allowed	98.98.225.137	192.168.0.215	6	
Allowed	20.42.65.90	192.168.0.215	6	
Allowed	98.98.225.137	192.168.0.215	6	
Allowed	20.250.77.142	192.168.0.215	6	
Allowed	192.168.0.215	20.42.65.90	6	
Allowed	98.98.225.137	192.168.0.215	6	
Allowed	98.98.225.137	192.168.0.215	6	
Allowed	192.168.0.215	98.98.225.137	6	
Allowed	192.168.0.215	192.168.0.1	17	
Allowed	192.168.0.215	192.168.0.1	17	
Allowed	192.168.0.1	192.168.0.215	17	
Allowed	192.168.0.1	192.168.0.215	17	
Allowed	192.168.0.215	20.189.173.26	6	
Allowed	192.168.0.215	20.42.65.90	6	
Allowed	192.168.0.215	20.42.65.90	6	
Allowed	192.168.0.215	20.42.65.90	6	
Allowed	192.168.0.215	20.42.65.90	6	
Allowed	192.168.0.215	20.42.65.90	6	
Allowed	20.189.173.26	192.168.0.215	6	
Allowed	20.42.65.90	192.168.0.215	6	
Allowed	20.42.65.90	192.168.0.215	6	
Allowed	20.42.65.90	192.168.0.215	6	
Allowed	192.168.0.215	20.189.173.26	6	
Allowed	192.168.0.215	20.42.65.90	6	
Allowed	192.168.0.215	20.42.65.90	6	
Allowed	192.168.0.215	20.42.65.90	6	
Allowed	192.168.0.215	20.42.65.90	6	
Allowed	192.168.0.215	20.42.65.90	6	
Allowed	192.168.0.215	20.42.65.90	6	
Allowed	192.168.0.215	20.189.173.26	6	
Allowed	20.189.173.26	192.168.0.215	6	
Allowed	20.189.173.26	192.168.0.215	6	
Allowed	20.42.65.90	192.168.0.215	6	
Allowed	20.42.65.90	192.168.0.215	6	
Allowed	20.42.65.90	192.168.0.215	6	
Allowed	20.189.173.26	192.168.0.215	6	
Allowed	192.168.0.215	20.189.173.26	6	
Allowed	192.168.0.215	20.189.173.26	6	
Allowed	192.168.0.215	20.42.65.90	6	
Allowed	192.168.0.215	20.189.173.26	6	
Allowed	20.42.65.90	192.168.0.215	6	
Allowed	20.189.173.26	192.168.0.215	6	
Allowed	20.42.65.90	192.168.0.215	6	
Allowed	20.189.173.26	192.168.0.215	6	
Allowed	192.168.0.215	20.42.65.90	6	
Allowed	192.168.0.215	20.189.173.26	6	
Allowed	20.189.173.26	192.168.0.215	6	
Allowed	20.189.173.26	192.168.0.215	6	
Allowed	20.189.173.26	192.168.0.215	6	
Allowed	192.168.0.215	20.189.173.26	6	
Allowed	192.168.0.215	20.189.173.26	6	
Allowed	192.168.0.215	20.189.173.26	6	
Allowed	192.168.0.215	20.189.173.26	6	
Allowed	192.168.0.215	20.189.173.26	6	
Allowed	192.168.0.215	192.168.0.1	17	
Allowed	192.168.0.215	192.168.0.1	17	
Allowed	192.168.0.215	192.168.0.1	17	
Allowed	192.168.0.215	20.42.65.90	6	
Allowed	192.168.0.215	20.42.65.90	6	
Allowed	192.168.0.215	20.42.65.90	6	
Allowed	192.168.0.215	20.42.65.90	6	
Allowed	192.168.0.215	20.42.65.90	6	
Allowed	192.168.0.215	20.42.65.90	6	
Allowed	192.168.0.215	20.42.65.90	6	
Allowed	192.168.0.215	20.42.65.90	6	
Allowed	20.189.173.26	192.168.0.215	6	
Allowed	20.189.173.26	192.168.0.215	6	
Allowed	192.168.0.1	192.168.0.215	17	
Allowed	192.168.0.153	224.0.0.251	17	
Allowed	192.168.0.215	192.168.0.1	17	
Allowed	192.168.0.215	192.168.0.1	17	
Allowed	192.168.0.215	192.168.0.1	17	
Allowed	20.189.173.26	192.168.0.215	6	
Allowed	20.42.65.90	192.168.0.215	6	
Allowed	192.168.0.1	192.168.0.215	17	
Allowed	192.168.0.1	192.168.0.215	17	
Allowed	20.189.173.26	192.168.0.215	6	
Allowed	20.189.173.26	192.168.0.215	6	
Allowed	197.199.233.34	192.168.0.215	6	
Allowed	197.199.233.34	192.168.0.215	6	
Allowed	192.168.0.215	197.199.233.34	6	
Allowed	192.168.0.215	20.189.173.26	6	
Allowed	192.168.0.215	197.199.233.34	6	
Allowed	192.168.0.215	20.42.65.90	6	
Allowed	192.168.0.215	20.189.173.26	6	
Allowed	192.168.0.215	20.189.173.26	6	
Allowed	192.168.0.1	192.168.0.215	17	
Allowed	192.168.0.1	192.168.0.215	17	
Allowed	192.168.0.1	192.168.0.215	17	
Allowed	192.168.0.215	140.82.113.26	6	
Allowed	20.42.65.90	192.168.0.215	6	
